,en,pt,ja,sr,de,fr
§ob§quake_pro,QUAKE PRO,GARRAFÃO,QUAKE PRO,квака про,QUAKE PRO,QUAKE PRO
§ob§zoomer,ZOOMER,BINÓCULOS,ズーマー,з у м,ZOOMER,ZOOMER
§bt§go_back,Back,Voltar,戻る,Назад,Zurück,Retour
§bt§controls,Controls,Controlos,コントロール,Контроле,Steuerung,Contrôles
§ui§game_menu,Game Menu,Menu do Jogo,ゲームメニュー,Мени Игрице,Spielmenü,Menu de jeu
§bt§resume,Back to Game,Voltar ao Jogo,ゲームに戻る,Назад у игру,Zurück zum Spiel,Retour au jeu
§bt§options,Options,Opções,オプション,Подешавања,Optionen,Options
§bt§exit,Exit Game,Sair do Jogo,ゲームを終了,Излаз из игре,Spiel beenden,Quitter le jeu
§ui§controls_menu,Controls Menu,Menu de Controlos,コントロールメニュー,Мени контрола,Steuerungsmenü,Menu des contrôles
§ui§movement,Movement,Movimentação,移動,Кретање,Bewegung,Mouvement
§ct§forward,Forward,Avançar,前進,Напред,Vorwärts,Avancer
§ct§backward,Backward,Recuar,後退,Назад,Rückwärts,Reculer
§ct§left,Left,Esquerda,左,Лево,Links,Gauche
§ct§right,Right,Direita,右,Десно,Rechts,Droite
§ct§jump,Jump,Saltar,ジャンプ,Скок,Springen,Sauter
§ct§crouch,Crouch,Agachar,しゃがむ,Клекнути,Ducken,S'accroupir
§ct§sprint,Sprint,Correr,スプリント,Трчање,Sprinten,Sprint
§ct§pause,Pause,Pausar,一時停止,Пауза,Pause,Pause
§dg§todor_greeting,Hey there! Your face looks new around here. Welcome to our lively city!,Olá! Pareces ser novo por aqui. Bem-vindo à nossa alegre cidade!,こんにちは！新しいお顔が見えてうれしいな。元気な街にようこそ！,,,
§dg§todor_greeting2,"In this town, people are friendly and love chatting with each other. It's a real community vibe.","Nesta vila, as pessoas são amigáveis e adoram conversar umas com as outras. É como uma grande família!",この街の人たちはみんなフレンドリーでおしゃべり好きなんだよ。まるで大きな家族のような雰囲気が漂っているんだ。,,,
§dg§todor_greeting3,"You know, if you're ever in need of some quick cash, folks might toss your way some odd jobs. It's a great way to get by.","Sabes, se alguma vez precisares de dinheiro rápido, as pessoas podem oferecer-te alguns trabalhos estranhos. É uma ótima maneira de conseguir trocos.",必要なときには、すぐお金が必要になることもあるでしょう。みんな、時々おもしろい仕事をくれることがあるんだ。それが生計を立てるちょっとした楽しい方法だよ。,,,
§dg§todor_greeting4,"Feel free to explore the city at your own pace. Cars aren't a common sight around here, so you're free to run around without worry.","Sê livre para explorar a cidade ao teu ritmo. Não é costume a passagem de carros, então podes correr por aí sem preocupações.",ゆっくりと街を歩いてみて。この辺りではあまり車は見かけないから、思う存分楽しんでね。,,,
§dg§todor_greeting5,"If times get tough, collecting recyclables and doing odd jobs can help you scrape together a bit of coin. We've all been there, mate. And hey, we're always ready to help out a fellow struggler.","Quando os tempos ficarem difíceis, recolher recicláveis e fazer trabalhos estranhos pode ajudar a juntar algumas moedas. Já todos passámos por isso, mano. E, ei, estamos sempre prontos para ajudar um companheiro em apuros.",困った時は、リサイクル可能なものを集めておかしな仕事をして、少しのコインを稼ぐのも一つの方法だよ。我々も皆同じ経験があります。ねえ、仲間を手伝うのはいつでもできるんだよ。,,,
§dg§player_ask_money,How do I get money?,Como consigo dinheiro?,,,,
§dg§player_ask_crafting,How does crafting work?,Como é que o crafting funciona?,,,,
§dg§todor_money,"Hey again! If you're looking to fill your pockets, there are a couple of ways to make a quick buck around here.","Olá de novo! Se estás a querer encher os bolsos, há algumas maneiras de ganhar uns trocos rápidos por aqui.",もう一度こんにちは！ポケットをいっぱいにする方法をお探しの場合、ここではいくつかの方法があります。,,,
§dg§todor_money2,"First off, keep an eye out for any scrap lying around the city. Grab those discarded items, and you can sell them at the local shops. It's not glamorous, but every little bit adds up.","Primeiro, mantém os olhos abertos para qualquer tralha espalhada pela cidade. Apanha esses objetos desperdiçados e podes vendê-los nas lojas locais. Não é fantástico, mas, como se diz, grão a grão, a galinha enche o papo.",ますます重要なのは、街のあちこちにあるくずを見逃さないようにすることです。それらを拾って、地元の店で売ることができます。派手ではないけれど、少しずつ積み重ねていけば大丈夫ですよ。,,,
§dg§todor_money3,"Another option is taking on odd jobs from the folks around town. They might need help with deliveries, chores, or who knows what. It's a good way to earn some extra cash and get to know the community.","Outra opção é pegar em trabalhos estranhos das pessoas da cidade. Podem precisar de ajuda com entregas, tarefas, ou sei lá o quê. É uma boa forma de ganhar algum dinheiro extra e conhecer a comunidade.",もう一つの選択肢は、町の人々から奇妙な仕事を引き受けることです。配達や雑用で手を貸してくれるかもしれません。それは追加でお金を稼ぐだけでなく、コミュニティを知る良い方法でもあります。,,,
§dg§todor_money4,"So, whether you're collecting scrap or taking on jobs, you'll be stacking up that moolah in no time. Good luck out there!","Portanto, quer estejas a recolher lixo ou a assumir tarefas, vais acumular uns quantos paus num instante. Boa sorte por aí!",だから、くずを集めたり、仕事を引き受けたり、どっちにしろお金がすぐに増えるからね。頑張って！,,,
§dg§todor_crafting,"Hey, friend! So, you're itching to craft some useful stuff, huh? Well, it's pretty simple once you get the hang of it.","Olá, amigo! Então, estás ansioso para criar umas coisas úteis, né? Bem, é bastante simples assim que apanhas o jeito.",こんにちは、友達！役立つものを作りたくなる気持ち、わかるよ。慣れればかなり簡単だから。,,,
§dg§todor_crafting2,"First things first, you'll need some tools. A Saw for wood, Hammer for metal, and a Pocket Knife for fabrics. Oh, and don't forget about Duct Tape - that's your handyman's best friend.","Primeiro e antes de mais, precisas de algumas ferramentas. Uma serra para a madeira, martelo para o metal, e uma faca de bolso para os tecidos. Ah, e não te esqueças da Fita Cola, ela arranja tudo.",まず最初に、道具が必要だよ。木材用のノコギリ、金属用のハンマー、生地用のポケットナイフ。あ、それからダクトテープも忘れずに - それがおまかせの相棒さ。,,,
§dg§todor_crafting3,"Now, let me show you the ropes of scraping. Take a Medium Backpack, use your Pocket Knife, and voila - you got yourself 5 Cloth. Smash up a Toy with a Hammer, and bam, 2 Plastic. Hit some Silver Cutlery with a Hammer for 2 Metal, and a Wooden Pencil plus a Saw equals 1 Wood. Easy, right?","Agora, deixa-me mostrar-te a base sobre a reciclagem. Pega numa Mochila Média, usa a tua Faca de Bolso e voilà - tens 5 Tecidos. Esmigalha um Brinquedo com um Martelo, e bam, 2 Plásticos. Bate em talheres de prata com um Martelo para 2 Metais, e um Lápis de Madeira mais uma Serra dá-te 1 Madeira. Simples, né?",さて、くずの取り扱い方を見せてくれるよ。中サイズのリュックを取り、ポケットナイフを使って、ほら、5枚の布ができた。おもちゃをハンマーでたたけば、2つのプラスチック。シルバーカトラリーをハンマーでたたけば、2つの金属。木の鉛筆とノコギリで1つの木材。簡単でしょ？,,,
§dg§todor_crafting4,"Now, onto the fun part - crafting! Combine your Saw, Hammer, Pocket Knife, and that piece of Wood, and you've got yourself a Toolbox. That bad boy can make all sorts of things that need tools.","Agora, para a parte divertida - a criação! Combina a tua Serra, Martelo, Faca de Bolso, e aquele pedaço de Madeira, e terás uma Caixa de Ferramentas. Este mauzão pode fazer todo o tipo de coisas que precisam de ferramentas.",さて、楽しい部分に入っていこう！クラフティングの時間だよ！ノコギリ、ハンマー、ポケットナイフ、そしてその木材を組み合わせれば、工具が必要なオブジェクトを作ることができるよ。,,,
§dg§todor_crafting5,"Need to patch yourself up? Mix 8 Cloth and a strip of Tape for a Bandage. Feeling crafty with time? Use 4 Metal, an Electronic, and a Hammer to whip up a Clock.","Precisas de te curar? Mistura 8 Tecidos e um pedaço de Fita Cola para uma Bandagem. Apetece-te criar ""tempo""? Usa 4 Metais, um Eletrónico e um Martelo para criar um Relógio.",自分を修復したいときは？8つの布とテープのストリップを混ぜてバンデージができるよ。時間をかけたいと思ったら？4つの金属、1つのエレクトロニクス、ハンマーで時計を作ってみて。,,,
§dg§todor_crafting6,"Feeling tired? Craft some Cardboards with 2 Card, or go all out with 2 Card and 3 Newspapers for a cozier snooze. For the ultimate nap setup, try 10 Fabrics, a strip of Tape, and 3 Plastic for a Sleeping Bag.","Cansado? Cria algumas Caixas de Cartão com 2 Cartões, ou guarda tudo para o melhor com 2 Cartões e 3 Jornais para uma sesta mais confortável. Para o setup de sesta definitivo, experimenta 10 Tecidos, uma tira de Fita Cola e 3 Plásticos para um Saco de Dormir.",疲れている？2つのカードでダンボールを作るか、2つのカードと3つの新聞で快適な居眠りができるようになる。究極の昼寝セットアップに挑戦するなら、10枚の生地、テープの一筋、そして3つのプラスチックでスリーピングバッグを作ってみて。,,,
§dg§todor_crafting7,"Oh, and if you're in the mood for a cozy fire, gather 4 Wood, and you'll have yourself a Bonfire. And there you have it, the basics of turning junk into treasure! Happy crafting!","Ah, e se estiveres com vontade de uma fogueira acolhedora, junta 4 Madeiras, e terás uma Fogueira. E aqui tens, o básico de transformar tralha em tesouro! Boa criação!",ああ、もし居心地の良い火が欲しいなら、4つの木材を集めれば、焚き火ができますよ。ここでゴミを宝物に変える基本があります！楽しいクラフティングを！,,,
